home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Portugal,Ghana,,,,,,,,,,,,,0,,,2022-11-24,,,,,Qatar,2022
Brazil,Serbia,,,,,,,,,,,,,0,,,2022-11-24,,,,,Qatar,2022
England,United States,,,,,,,,,,,,,0,,,2022-11-25,,,,,Qatar,2022
Netherlands,Ecuador,,,,,,,,,,,,,0,,,2022-11-25,,,,,Qatar,2022
Qatar,Senegal,,,,,,,,,,,,,0,,,2022-11-25,,,,,Qatar,2022
Wales,IR Iran,,,,,,,,,,,,,0,,,2022-11-25,,,,,Qatar,2022
Tunisia,Australia,,,,,,,,,,,,,0,,,2022-11-26,,,,,Qatar,2022
Argentina,Mexico,,,,,,,,,,,,,0,,,2022-11-26,,,,,Qatar,2022
France,Denmark,,,,,,,,,,,,,0,,,2022-11-26,,,,,Qatar,2022
Poland,Saudi Arabia,,,,,,,,,,,,,0,,,2022-11-26,,,,,Qatar,2022
Spain,Germany,,,,,,,,,,,,,0,,,2022-11-27,,,,,Qatar,2022
Belgium,Morocco,,,,,,,,,,,,,0,,,2022-11-27,,,,,Qatar,2022
Japan,Costa Rica,,,,,,,,,,,,,0,,,2022-11-27,,,,,Qatar,2022
Croatia,Canada,,,,,,,,,,,,,0,,,2022-11-27,,,,,Qatar,2022
Portugal,Uruguay,,,,,,,,,,,,,0,,,2022-11-28,,,,,Qatar,2022
Brazil,Switzerland,,,,,,,,,,,,,0,,,2022-11-28,,,,,Qatar,2022
Korea Republic,Ghana,,,,,,,,,,,,,0,,,2022-11-28,,,,,Qatar,2022
Cameroon,Serbia,,,,,,,,,,,,,0,,,2022-11-28,,,,,Qatar,2022
IR Iran,United States,,,,,,,,,,,,,0,,,2022-11-29,,,,,Qatar,2022
Wales,England,,,,,,,,,,,,,0,,,2022-11-29,,,,,Qatar,2022
Ecuador,Senegal,,,,,,,,,,,,,0,,,2022-11-29,,,,,Qatar,2022
Netherlands,Qatar,,,,,,,,,,,,,0,,,2022-11-29,,,,,Qatar,2022
Tunisia,France,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Saudi Arabia,Mexico,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Poland,Argentina,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Australia,Denmark,,,,,,,,,,,,,0,,,2022-11-30,,,,,Qatar,2022
Costa Rica,Germany,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Japan,Spain,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Croatia,Belgium,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Canada,Morocco,,,,,,,,,,,,,0,,,2022-12-01,,,,,Qatar,2022
Cameroon,Brazil,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
Serbia,Switzerland,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
Ghana,Uruguay,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
Korea Republic,Portugal,,,,,,,,,,,,,0,,,2022-12-02,,,,,Qatar,2022
